,subID,onset,target_child_name,target_child_age,meanF0,stdevF0,minF0,maxF0,Language,Contingency
0,020128,Braunwald.wav,108503.0,020128,182.61939339078225,10.108614577895235,163.1000822018771,203.68018331877082,English,Contingent
1,010824,Braunwald.wav,1035260.0,010824,232.63777161876502,100.4409189615542,77.98738034527052,483.6736569067102,English,Contingent
2,010614a,Braunwald.wav,316352.0,010614a,171.28448652837577,19.78447517714613,138.6833207703276,252.6178826637782,English,Contingent
3,030006,Braunwald.wav,19000.0,030006,220.44711391123457,56.603638078098776,76.29659790654665,350.68406959231476,English,Contingent
4,010616b,Braunwald.wav,50189.0,010616b,156.80907015110216,33.73098210076616,80.3783907390793,205.85671325698132,English,Contingent
5,010717,Braunwald.wav,488800.0,010717,260.80634797953974,105.19009109804007,98.10170211877819,480.4437885431859,English,Contingent
6,010719,Braunwald.wav,516441.00000000006,010719,256.5058001825406,53.76035693168461,94.25577701965518,370.11185287133776,English,Contingent
7,020300a,Braunwald.wav,1696907.0,020300a,167.75573098859428,52.01161462803123,70.64024178123054,333.5953649111637,English,Contingent
8,011125,Braunwald.wav,594176.0,011125,147.7541427276924,13.813803147243656,131.37095742549454,192.09090456015235,English,Contingent
9,020124,Braunwald.wav,836434.0,020124,237.29502681980208,85.11696397150266,98.35255773619643,485.7344027087646,English,Contingent
10,020819,Braunwald.wav,940533.0,020819,133.12003547522943,24.362245918971745,113.02649525213559,192.19712299616052,English,Contingent
11,010511,Braunwald.wav,302556.0,010511,197.84280654183215,31.82827040664338,141.27266063770082,250.57323912074764,English,Contingent
12,020200,Braunwald.wav,855130.0,020200,344.7166363541815,83.87159103633941,83.5049363274288,482.1984774232756,English,Contingent
13,020530,Braunwald.wav,533169.0,020530,145.13916138266302,45.715431310648775,85.88402619702087,182.9142376200146,English,Contingent
14,011027,Braunwald.wav,212805.0,011027,248.7821397195996,39.83780304562847,163.63747947817137,349.6677637694,English,Contingent
15,010519,Braunwald.wav,42989.0,010519,279.50576687863867,40.20220264577337,110.44795677295602,378.2563840608235,English,Contingent
16,020010,Braunwald.wav,669994.0,020010,201.35039501585325,55.0638978379816,80.5401782574548,359.3825382782168,English,Contingent
17,010513,Braunwald.wav,87819.0,010513,219.00094755777647,40.07064719880372,147.55684353737965,325.94969036787506,English,Contingent
18,020218,Braunwald.wav,154357.0,020218,203.1285680559353,65.16022154780629,115.30427796132238,485.23205762186586,English,Contingent
19,030128,Braunwald.wav,1194925.0,030128,157.99790030031804,80.27642839857187,76.538154537886,488.398791721516,English,Contingent
20,010824,Braunwald.wav,30587.0,010824,243.5460352938974,69.24022577283647,157.21729324534476,460.5928011437854,English,Contingent
21,041000,Braunwald.wav,5879681.0,041000,321.8392120013588,73.35390417959525,172.00141260732096,469.84056491484296,English,Contingent
22,010514,Braunwald.wav,397231.0,010514,207.36340942384894,30.39962028901532,126.24654019930514,243.1859935721681,English,Contingent
23,010614a,Braunwald.wav,341556.0,010614a,186.88371473049455,17.15530920234145,142.56239947545464,239.17917642689375,English,Contingent
24,011019,Braunwald.wav,611891.0,011019,238.99528919063906,81.42494608233339,142.9841769178793,583.7993199453803,English,Contingent
25,020624,Braunwald.wav,155956.0,020624,295.55192749699614,76.96494957087795,128.40353225264874,438.1413713377838,English,Contingent
26,010705,Braunwald.wav,190382.0,010705,339.20087134632496,137.0492884815478,125.36405478778138,511.42533967775734,English,Contingent
27,011027,Braunwald.wav,260743.0,011027,177.42480627445977,52.09873287260127,66.60830169585954,381.87153678933316,English,Contingent
28,010600a,Braunwald.wav,167084.0,010600a,393.6183696371777,110.87050694800399,94.38861094100758,629.8325193016216,English,Contingent
29,020312,Braunwald.wav,493567.0,020312,334.4564626907203,151.1659426712482,193.01644754104342,592.3901478128134,English,Contingent
30,020128,Braunwald.wav,484516.0,020128,295.1518367716647,62.70412343779527,178.21334667049848,417.2066248339962,English,Contingent
31,040718c,Braunwald.wav,542823.0,040718c,199.7792703817816,37.38969612322295,78.41533309867052,273.93207870262984,English,Contingent
32,020621,Braunwald.wav,161594.0,020621,248.15102369991453,87.91735742921978,85.47605849745457,469.84446539398874,English,Contingent
33,020323,Braunwald.wav,229664.0,020323,176.03379103813285,4.646180523519567,168.51676790227074,184.84929349862472,English,Contingent
34,040307a,Braunwald.wav,1184792.0,040307a,373.55152172177964,136.3935662811659,104.87977567778731,578.3583072301851,English,Contingent
35,020023,Braunwald.wav,224250.0,020023,175.06199291211743,27.69631064821468,82.19647794211546,250.38725481532126,English,Contingent
36,040211b,Braunwald.wav,458724.0,040211b,222.89656814616689,75.13970218614718,92.24974243279382,462.67377186267544,English,Contingent
