transcript_id,media_start,media_end,gloss,speaker_role,language,corpus_name,Language_name,Language_Family,Language_Genus,target_child_age,caregiver,target_child_id,contingent,chunk_index
2109,4083.154,4083.334,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
2109,4085.837,4086.114,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
2109,4094.048,4094.481,ajk'otajan,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4095.542,4095.903,ajk'otajan,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4096.195,4098.279,xi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4098.584,4098.812,pasa i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4099.241,4101.205,xi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4102.388,4102.896,pasa i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4104.43,4104.798,pasa,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4105.403,4108.243,xi jichini,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4116.734,4118.504,pasa ek'i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4118.982,4119.368,jae,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4120.307,4121.35,0,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4122.688,4124.307,0,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4123.414,4123.821,n,Target_Child,tzh,Casillas,Tseltal,Mayan,Mayan,7,target_child,2109,0,2
