,Language_name,target_child_id,transcript_id,contingent,means
0,Croatian,18271,29171,contingent,0.0
1,Croatian,18271,29171,non-contingent,0.15
2,Croatian,18271,29173,contingent,0.14285714285714285
3,Croatian,18271,29173,non-contingent,0.15789473684210525
4,Croatian,18271,29174,contingent,0.11764705882352941
5,Croatian,18271,29174,non-contingent,0.06896551724137931
6,Croatian,18271,29175,contingent,0.26666666666666666
7,Croatian,18271,29175,non-contingent,0.05405405405405406
8,Croatian,18271,29176,contingent,0.2962962962962963
9,Croatian,18271,29176,non-contingent,0.19718309859154928
10,Croatian,18271,29177,contingent,0.5172413793103449
11,Croatian,18271,29177,non-contingent,0.16129032258064516
12,Croatian,18271,29178,contingent,0.21568627450980393
13,Croatian,18271,29178,non-contingent,0.1643835616438356
14,Croatian,18271,29179,contingent,0.15384615384615385
15,Croatian,18271,29179,non-contingent,0.2345679012345679
16,Croatian,18271,29180,contingent,0.19047619047619047
17,Croatian,18271,29180,non-contingent,0.18604651162790697
18,Croatian,18271,29187,contingent,0.15789473684210525
19,Croatian,18271,29187,non-contingent,0.13333333333333333
20,Croatian,18271,29192,contingent,0.12
21,Croatian,18271,29192,non-contingent,0.19047619047619047
22,Croatian,18271,29194,contingent,0.15789473684210525
23,Croatian,18271,29194,non-contingent,0.22666666666666666
24,Croatian,18271,29195,contingent,0.10526315789473684
25,Croatian,18271,29195,non-contingent,0.10810810810810811
26,Croatian,18271,29196,contingent,0.2222222222222222
27,Croatian,18271,29196,non-contingent,0.2708333333333333
28,Croatian,18271,29197,contingent,0.16129032258064516
29,Croatian,18271,29197,non-contingent,0.14285714285714285
30,Croatian,18271,29199,contingent,0.2903225806451613
31,Croatian,18271,29199,non-contingent,0.17391304347826086
32,Croatian,18271,29200,contingent,0.225
33,Croatian,18271,29200,non-contingent,0.203125
34,Croatian,18271,29201,contingent,0.29411764705882354
35,Croatian,18271,29201,non-contingent,0.25510204081632654
36,Croatian,18271,29202,contingent,0.2962962962962963
37,Croatian,18271,29202,non-contingent,0.2857142857142857
38,Croatian,18271,29203,contingent,0.25
39,Croatian,18271,29203,non-contingent,0.19642857142857142
40,Croatian,18271,29204,contingent,0.3488372093023256
41,Croatian,18271,29204,non-contingent,0.2564102564102564
42,Croatian,18283,29212,contingent,0.23529411764705882
43,Croatian,18283,29212,non-contingent,0.07692307692307693
44,Croatian,18283,29213,contingent,0.16666666666666666
45,Croatian,18283,29213,non-contingent,0.11320754716981132
46,Croatian,18283,29214,contingent,0.2916666666666667
47,Croatian,18283,29214,non-contingent,0.09375
48,Croatian,18283,29215,contingent,0.13793103448275862
49,Croatian,18283,29215,non-contingent,0.078125
50,Croatian,18283,29216,contingent,0.15384615384615385
51,Croatian,18283,29216,non-contingent,0.13513513513513514
52,Croatian,18283,29217,contingent,0.15384615384615385
53,Croatian,18283,29217,non-contingent,0.06818181818181818
54,Croatian,18283,29218,contingent,0.2
55,Croatian,18283,29218,non-contingent,0.2647058823529412
56,Croatian,18283,29219,contingent,0.125
57,Croatian,18283,29219,non-contingent,0.10714285714285714
58,Croatian,18283,29220,contingent,0.25
59,Croatian,18283,29220,non-contingent,0.18
60,Croatian,18283,29222,contingent,0.4642857142857143
61,Croatian,18283,29222,non-contingent,0.1875
62,Croatian,18283,29223,contingent,0.2222222222222222
63,Croatian,18283,29223,non-contingent,0.16455696202531644
64,Croatian,18283,29224,contingent,0.2826086956521739
65,Croatian,18283,29224,non-contingent,0.18604651162790697
66,Croatian,18283,29225,contingent,0.3888888888888889
67,Croatian,18283,29225,non-contingent,0.20588235294117646
68,Croatian,18283,29226,contingent,0.3103448275862069
69,Croatian,18283,29226,non-contingent,0.25
70,Croatian,18283,29227,contingent,0.2631578947368421
71,Croatian,18283,29227,non-contingent,0.15254237288135594
72,Croatian,18283,29228,contingent,0.3684210526315789
73,Croatian,18283,29228,non-contingent,0.25
74,Croatian,18283,29229,contingent,0.3235294117647059
75,Croatian,18283,29229,non-contingent,0.2857142857142857
76,Croatian,18283,29230,contingent,0.2857142857142857
77,Croatian,18283,29230,non-contingent,0.19718309859154928
78,Croatian,18283,29231,contingent,0.3220338983050847
79,Croatian,18283,29231,non-contingent,0.22580645161290322
80,Croatian,18283,29232,contingent,0.45
81,Croatian,18283,29232,non-contingent,0.24528301886792453
82,Croatian,18283,29233,contingent,0.3333333333333333
83,Croatian,18283,29233,non-contingent,0.20930232558139536
