,Language_name,target_child_id,transcript_id,contingent,means,caregiver_type
1,Croatian,18271.0,29171.0,contingent,3.4,Mother & Father
2,Croatian,18271.0,29171.0,non-contingent,4.0,Mother & Father
3,Croatian,18271.0,29173.0,contingent,5.2727272727272725,Mother only
4,Croatian,18271.0,29173.0,non-contingent,4.535714285714286,Mother only
5,Croatian,18271.0,29174.0,contingent,4.615384615384615,Mother only
6,Croatian,18271.0,29174.0,non-contingent,5.321428571428571,Mother only
7,Croatian,18271.0,29175.0,contingent,3.723404255319149,Mother only
8,Croatian,18271.0,29175.0,non-contingent,3.45,Mother only
9,Croatian,18271.0,29176.0,contingent,3.525,Mother only
10,Croatian,18271.0,29176.0,non-contingent,3.6944444444444446,Mother only
11,Croatian,18271.0,29177.0,contingent,2.6136363636363638,Mother only
12,Croatian,18271.0,29177.0,non-contingent,3.8115942028985508,Mother only
13,Croatian,18271.0,29178.0,contingent,3.675675675675676,Mother only
14,Croatian,18271.0,29178.0,non-contingent,4.1466666666666665,Mother only
15,Croatian,18271.0,29179.0,contingent,3.8705882352941177,Mother & Father
16,Croatian,18271.0,29179.0,non-contingent,3.647727272727273,Mother & Father
17,Croatian,18271.0,29180.0,contingent,2.8688524590163933,Mother & Father
18,Croatian,18271.0,29180.0,non-contingent,4.135922330097087,Mother & Father
19,Croatian,18271.0,29187.0,contingent,4.3076923076923075,Mother only
20,Croatian,18271.0,29187.0,non-contingent,3.870967741935484,Mother only
21,Croatian,18271.0,29192.0,contingent,4.6,Mother only
22,Croatian,18271.0,29192.0,non-contingent,4.597222222222222,Mother only
23,Croatian,18271.0,29194.0,contingent,3.871794871794872,Mother & Father
24,Croatian,18271.0,29194.0,non-contingent,3.8493150684931505,Mother & Father
25,Croatian,18271.0,29195.0,contingent,6.09375,Mother only
26,Croatian,18271.0,29195.0,non-contingent,6.045454545454546,Mother only
27,Croatian,18271.0,29196.0,contingent,4.6923076923076925,Mother only
28,Croatian,18271.0,29196.0,non-contingent,4.8,Mother only
29,Croatian,18271.0,29197.0,contingent,4.262295081967213,Mother only
30,Croatian,18271.0,29197.0,non-contingent,4.381818181818182,Mother only
31,Croatian,18271.0,29199.0,contingent,3.8846153846153846,Mother only
32,Croatian,18271.0,29199.0,non-contingent,4.758064516129032,Mother only
33,Croatian,18271.0,29200.0,contingent,5.109375,Mother only
34,Croatian,18271.0,29200.0,non-contingent,5.0,Mother only
35,Croatian,18271.0,29201.0,contingent,3.2857142857142856,Mother only
36,Croatian,18271.0,29201.0,non-contingent,3.519607843137255,Mother only
37,Croatian,18271.0,29202.0,contingent,2.8392857142857144,Mother only
38,Croatian,18271.0,29202.0,non-contingent,3.90625,Mother only
39,Croatian,18271.0,29203.0,contingent,3.6842105263157894,Mother only
40,Croatian,18271.0,29203.0,non-contingent,3.971014492753623,Mother only
41,Croatian,18271.0,29204.0,contingent,3.7746478873239435,Mother & Father
42,Croatian,18271.0,29204.0,non-contingent,4.064516129032258,Mother & Father
43,Croatian,18283.0,29212.0,contingent,3.230769230769231,Mother & Father
44,Croatian,18283.0,29212.0,non-contingent,3.8902439024390243,Mother & Father
45,Croatian,18283.0,29213.0,contingent,4.291666666666667,Mother & Father
46,Croatian,18283.0,29213.0,non-contingent,5.790322580645161,Mother & Father
47,Croatian,18283.0,29214.0,contingent,3.1176470588235294,Mother & Father
48,Croatian,18283.0,29214.0,non-contingent,3.519230769230769,Mother & Father
49,Croatian,18283.0,29215.0,contingent,3.324324324324324,Mother & Father
50,Croatian,18283.0,29215.0,non-contingent,4.457142857142857,Mother & Father
51,Croatian,18283.0,29216.0,contingent,3.7027027027027026,Mother only
52,Croatian,18283.0,29216.0,non-contingent,3.962025316455696,Mother only
53,Croatian,18283.0,29217.0,contingent,4.533333333333333,Mother only
54,Croatian,18283.0,29217.0,non-contingent,4.810344827586207,Mother only
55,Croatian,18283.0,29218.0,contingent,2.4166666666666665,Mother & Father
56,Croatian,18283.0,29218.0,non-contingent,3.142857142857143,Mother & Father
57,Croatian,18283.0,29219.0,contingent,5.166666666666667,Mother only
58,Croatian,18283.0,29219.0,non-contingent,4.676923076923077,Mother only
59,Croatian,18283.0,29220.0,contingent,3.75,Mother only
60,Croatian,18283.0,29220.0,non-contingent,4.178571428571429,Mother only
61,Croatian,18283.0,29222.0,contingent,2.6451612903225805,Mother only
62,Croatian,18283.0,29222.0,non-contingent,4.1946902654867255,Mother only
63,Croatian,18283.0,29223.0,contingent,3.9183673469387754,Mother only
64,Croatian,18283.0,29223.0,non-contingent,4.585365853658536,Mother only
65,Croatian,18283.0,29224.0,contingent,3.6666666666666665,Mother only
66,Croatian,18283.0,29224.0,non-contingent,4.170212765957447,Mother only
67,Croatian,18283.0,29225.0,contingent,2.892857142857143,Mother only
68,Croatian,18283.0,29225.0,non-contingent,3.7142857142857144,Mother only
69,Croatian,18283.0,29226.0,contingent,2.8055555555555554,Mother & Father
70,Croatian,18283.0,29226.0,non-contingent,3.357142857142857,Mother & Father
71,Croatian,18283.0,29227.0,contingent,4.695652173913044,Mother only
72,Croatian,18283.0,29227.0,non-contingent,6.412698412698413,Mother only
73,Croatian,18283.0,29228.0,contingent,3.0714285714285716,Mother only
74,Croatian,18283.0,29228.0,non-contingent,3.58,Mother only
75,Croatian,18283.0,29229.0,contingent,2.872340425531915,Mother only
76,Croatian,18283.0,29229.0,non-contingent,4.033898305084746,Mother only
77,Croatian,18283.0,29230.0,contingent,3.5208333333333335,Mother only
78,Croatian,18283.0,29230.0,non-contingent,4.469879518072289,Mother only
79,Croatian,18283.0,29231.0,contingent,3.085714285714286,Mother only
80,Croatian,18283.0,29231.0,non-contingent,3.076923076923077,Mother only
81,Croatian,18283.0,29232.0,contingent,3.3,Mother & Father
82,Croatian,18283.0,29232.0,non-contingent,3.7454545454545456,Mother & Father
83,Croatian,18283.0,29233.0,contingent,4.6923076923076925,Mother & Father
84,Croatian,18283.0,29233.0,non-contingent,3.816326530612245,Mother & Father
85,Croatian,18283.0,29234.0,contingent,3.075,Mother only
86,Croatian,18283.0,29234.0,non-contingent,2.909090909090909,Mother only
87,Croatian,18283.0,29235.0,contingent,3.364705882352941,Mother only
88,Croatian,18283.0,29235.0,non-contingent,4.202247191011236,Mother only
89,Croatian,18290.0,29249.0,contingent,3.8,Mother only
90,Croatian,18290.0,29249.0,non-contingent,2.7540983606557377,Mother only
91,Croatian,18290.0,29253.0,contingent,2.9420289855072466,Mother only
92,Croatian,18290.0,29253.0,non-contingent,3.1758241758241756,Mother only
93,Croatian,18290.0,29255.0,contingent,3.3333333333333335,Mother & Father
94,Croatian,18290.0,29255.0,non-contingent,3.21875,Mother & Father
95,Croatian,18290.0,29258.0,contingent,2.8666666666666667,Mother only
96,Croatian,18290.0,29258.0,non-contingent,3.183206106870229,Mother only
97,Croatian,18290.0,29262.0,contingent,3.1578947368421053,Mother only
98,Croatian,18290.0,29262.0,non-contingent,3.230769230769231,Mother only
99,Croatian,18290.0,29267.0,contingent,5.0,Mother only
100,Croatian,18290.0,29267.0,non-contingent,4.833333333333333,Mother only
101,Croatian,18290.0,29271.0,contingent,3.511111111111111,Mother only
102,Croatian,18290.0,29271.0,non-contingent,3.0142857142857142,Mother only
103,Croatian,18290.0,29275.0,contingent,2.5,Mother only
104,Croatian,18290.0,29275.0,non-contingent,3.25,Mother only
105,Croatian,18290.0,29281.0,contingent,3.433333333333333,Mother & Father
106,Croatian,18290.0,29281.0,non-contingent,3.9743589743589745,Mother & Father
107,Croatian,18290.0,29284.0,contingent,3.5476190476190474,Mother & Father
108,Croatian,18290.0,29284.0,non-contingent,3.836734693877551,Mother & Father
109,Croatian,18290.0,29285.0,contingent,2.9318181818181817,Mother only
110,Croatian,18290.0,29285.0,non-contingent,2.85,Mother only
111,Croatian,18290.0,29286.0,contingent,5.0,Mother only
112,Croatian,18290.0,29286.0,non-contingent,6.318181818181818,Mother only
113,Croatian,18290.0,29288.0,contingent,3.7674418604651163,Mother only
114,Croatian,18290.0,29288.0,non-contingent,3.6,Mother only
115,Croatian,18290.0,29289.0,contingent,4.636363636363637,Father only
116,Croatian,18290.0,29289.0,non-contingent,4.555555555555555,Father only
117,English,2341.0,4169.0,contingent,3.7142857142857144,Father only
118,English,2341.0,4169.0,non-contingent,4.0,Father only
119,English,2341.0,4170.0,contingent,4.157894736842105,Father only
120,English,2341.0,4170.0,non-contingent,4.38,Father only
121,English,2341.0,4174.0,contingent,4.074074074074074,Father only
122,English,2341.0,4174.0,non-contingent,3.8548387096774195,Father only
123,English,2341.0,4175.0,contingent,3.466666666666667,Father only
124,English,2341.0,4175.0,non-contingent,4.651162790697675,Father only
125,English,2341.0,4176.0,contingent,3.0,Father only
126,English,2341.0,4176.0,non-contingent,4.566666666666666,Father only
127,English,2341.0,4177.0,contingent,3.0,Father only
128,English,2341.0,4177.0,non-contingent,3.63768115942029,Father only
129,English,2341.0,4179.0,contingent,4.428571428571429,Father only
130,English,2341.0,4179.0,non-contingent,4.3238095238095235,Father only
131,English,2341.0,4180.0,contingent,3.9375,Father only
132,English,2341.0,4180.0,non-contingent,4.0843373493975905,Father only
133,English,2341.0,4181.0,contingent,2.4166666666666665,Mother only
134,English,2341.0,4181.0,non-contingent,3.745664739884393,Mother only
135,English,2341.0,4183.0,contingent,3.7916666666666665,Father only
136,English,2341.0,4183.0,non-contingent,4.007407407407407,Father only
137,English,2341.0,4184.0,contingent,1.8,Mother only
138,English,2341.0,4184.0,non-contingent,3.302325581395349,Mother only
139,English,2341.0,4185.0,contingent,4.055555555555555,Father only
140,English,2341.0,4185.0,non-contingent,3.911111111111111,Father only
141,English,2341.0,4186.0,contingent,3.933333333333333,Father only
142,English,2341.0,4186.0,non-contingent,5.094488188976378,Father only
143,English,2341.0,4187.0,contingent,3.15,Father only
144,English,2341.0,4187.0,non-contingent,4.306451612903226,Father only
145,English,2341.0,4190.0,contingent,4.184210526315789,Father only
146,English,2341.0,4190.0,non-contingent,4.273504273504273,Father only
147,English,2341.0,4191.0,contingent,4.607142857142857,Father only
148,English,2341.0,4191.0,non-contingent,6.431372549019608,Father only
149,English,2341.0,4192.0,contingent,3.076923076923077,Father only
150,English,2341.0,4192.0,non-contingent,3.6607142857142856,Father only
151,English,2341.0,4193.0,contingent,2.6842105263157894,Father only
152,English,2341.0,4193.0,non-contingent,5.098591549295775,Father only
153,English,2341.0,4200.0,contingent,2.34375,Father only
154,English,2341.0,4200.0,non-contingent,3.9855072463768115,Father only
155,English,2341.0,4204.0,contingent,2.7142857142857144,Father only
156,English,2341.0,4204.0,non-contingent,3.984126984126984,Father only
157,English,2341.0,4206.0,contingent,2.789473684210526,Father only
158,English,2341.0,4206.0,non-contingent,4.837209302325581,Father only
159,English,2341.0,4207.0,contingent,2.5555555555555554,Father only
160,English,2341.0,4207.0,non-contingent,4.032786885245901,Father only
161,English,2341.0,4208.0,contingent,2.590909090909091,Father only
162,English,2341.0,4208.0,non-contingent,3.6933333333333334,Father only
163,English,2341.0,4209.0,contingent,3.8048780487804876,Father only
164,English,2341.0,4209.0,non-contingent,4.897058823529412,Father only
165,English,2341.0,4210.0,contingent,3.5,Father only
166,English,2341.0,4210.0,non-contingent,4.095238095238095,Father only
167,English,2341.0,4211.0,contingent,3.6122448979591835,Father only
168,English,2341.0,4211.0,non-contingent,3.742424242424242,Father only
169,English,2341.0,4212.0,contingent,3.0357142857142856,Father only
170,English,2341.0,4212.0,non-contingent,3.546875,Father only
171,English,2341.0,4213.0,contingent,3.86046511627907,Father only
172,English,2341.0,4213.0,non-contingent,4.7272727272727275,Father only
173,English,2341.0,4214.0,contingent,2.4285714285714284,Father only
174,English,2341.0,4214.0,non-contingent,4.109090909090909,Father only
175,English,2341.0,4215.0,contingent,2.4166666666666665,Father only
176,English,2341.0,4215.0,non-contingent,3.71875,Father only
177,English,2341.0,4216.0,contingent,3.409090909090909,Father only
178,English,2341.0,4216.0,non-contingent,4.162393162393163,Father only
179,English,2341.0,4217.0,contingent,3.108108108108108,Father only
