transcript_id,media_start,media_end,gloss,speaker_role,language,corpus_name,directedness,Language_name,Language_Family,Language_Genus,target_child_age,caregiver,target_child_id
643,5050.521,5051.593,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5053.681,5053.785,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5054.426,5055.553,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5056.959,5057.216,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5059.469,5059.527,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5060.26,5062.071,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5062.54,5064.443,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5065.231,5065.605,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5070.987,5071.289,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5072.482,5072.657,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5073.57,5074.856,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5077.498,5078.563,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5079.172,5079.296,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5080.27,5080.85,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5082.755,5082.957,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5084.733,5085.724,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5086.879,5088.951,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5089.651,5091.765,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,5093.251,5094.365,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
