transcript_id,media_start,media_end,gloss,speaker_role,language,corpus_name,Language_name,Language_Family,Language_Genus,target_child_age,caregiver,target_child_id,contingent,num_tokens
2109,4138.147,4138.789,pasa eki,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4139.829,4140.305,t'uch i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,3
2109,4140.732,4142.039,t'uch,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,1,2
2109,4144.084,4145.275,t'uch i ich'a me a wip,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,8
2109,4145.568,4147.204,t'uch ay !,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,3
2109,4153.535,4154.707,t'uch,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,2
2109,4160.525,4161.621,0,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,1,1
2109,4181.718,4183.398,pasa ek'i ajk'otajan i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,6
2109,4184.903,4185.702,ajk'otajan a tukel,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,4
2109,4186.933,4191.428,xi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,0,1
2109,4197.15,4199.079,bii ek'a te jononetate,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,7,caregiver,2109,1,5
2625,18490.289,18490.891,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,1,1
2625,18565.578,18566.258,we'a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,1,2
2625,18574.877,18575.491,sumeba,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,18589.21,18591.736,pajts'i boki,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,3
2625,18598.35,18600.456,mailia ya stsakbetal stsek alal,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,5
2625,18669.823,18671.087,mame' wa'kbe smal i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,5
2625,18693,18694.157,tsa'alok'el te a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,5
2625,18696.302,18697.052,li ayixi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,1,2
2625,18702.69,18703.35,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27365,27366.601,xit xit xit xit xit xit xit,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,7
2625,27374.608,27374.951,as',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27377.598,27377.904,as',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27397.608,27399.156,vanessa,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27428.927,27430.374,keremek'i muy  ya'wali,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,5
2625,27431.826,27432.982,mach'a muysese  kerem,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,4
2625,27435.617,27437.045,tsakatal k'oxoxtee ya jwe,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,5
2625,27437.488,27438.596,chajpech xa' tsaktal,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,3
2625,27439.846,27440.704,0,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27445.355,27446.376,ya xbulanixi paynili ju'uk,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,5
2625,27449.426,27450.46,ma' wochmene,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27466.499,27467.202,lejchanajilel,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27467.745,27468.337,jichuk a tsakatal,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,3
2625,27469.19,27471.462,mame' cheplok'el mame' ja'uk te ay xwoch'a wu'un ya'tike,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,14
2625,27475.876,27476.92,aa jichuk xch'a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,4
2625,27495.677,27496.977,maxa' wuts'in maxa' ts'otlabe snuk',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,7
2625,27497.488,27498.577,ma' ts'otp'inbe snuk',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,5
2625,27511.32,27511.996,mm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27526.856,27527.251,mm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27532.755,27534.099,bistuk ya waysimal kalame,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,4
2625,27534.406,27534.846,jae,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27537.482,27538.986,mame'bi ya'wixlan xan ita yutil cuartotike,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,8
2625,27543.275,27543.779,sale,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
2625,27626.628,27627.993,ach'ix,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,2
2625,27634.731,27635.029,la',Mother,tzh,Casillas,Tseltal,Mayan,Mayan,32,caregiver,2625,0,1
3026,29284.557,29287.683,jamame ime bii a bislune kerem,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,6
3026,29288.558,29289.409,jamame,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29317.649,29318.792,bii k'abu kasil,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,4
3026,29319.329,29320.006,bii,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29348.952,29356.226,xs xs xs xs xs xs xs xs xs xs xs xs,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,12
3026,29382.469,29384.142,jmm pasame a i dose,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,5
3026,29389.847,29393.064,mame' lom jakatikuk i mame' x'ocha wu'un ya'tik a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,12
3026,29396.727,29397.818,jay jima yich' i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,4
3026,29400.966,29401.63,siete,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29403.406,29404.253,diecisiete,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,1
3026,29406.525,29409.181,ya towan xnel yu'un areli te diecisietetoe,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,8
3026,29410.22,29411.571,ya xlajix yu'un sok a,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,6
3026,29414.156,29418.319,ma chanjimuknax nujkul ya xla sok ts'imench'e,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,9
3026,29436.506,29438.597,biiek'ame tenax ya sts'usilae,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,6
3026,29439.896,29440.584,mamá,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,1
3026,29447.116,29448.181,ala nena,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29449.59,29450.852,ala junax ila,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,3
3026,29468.14,29470.297,dame la casita,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,3
3026,29489.91,29492.572,k'axel jma sbolil soki k'a areli,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,8
3026,29498.733,29500.423,bistukxan imen kalame,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,3
3026,29501.935,29503,t'uxajat,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,0,2
3026,29517.395,29518.384,ja'ini,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,36,caregiver,3026,1,2
